time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
0,0,175084.632,5,2,1,0,0.965926,0.258819,0.0,1.0,181062.526,169406.718,158364.942,191599.032,174896.209,6540.513,168544.119,0,0,6540.513,0.0
1,0,172347.028,6,2,1,0,1.0,0.0,0.0,1.0,175084.632,166827.548,155147.428,191835.612,174995.731,6982.572,165364.456,0,0,6982.572,0.0
2,0,171373.388,7,2,1,0,0.965926,-0.258819,0.0,1.0,172347.028,166193.716,152404.272,192065.59,175098.109,7225.674,164147.714,0,0,7225.674,0.0
3,0,171986.564,8,2,1,0,0.866025,-0.5,0.0,1.0,171373.388,167039.07,151348.068,192281.41,175211.02,7473.561,164513.003,0,0,7473.561,0.0
4,0,176083.02,9,2,1,0,0.707107,-0.707107,0.0,1.0,171986.564,171481.508,152476.082,192487.555,175333.869,7737.883,168345.137,0,0,7737.883,0.0
5,0,186314.69,10,2,1,0,0.5,-0.866025,0.0,1.0,176083.02,181926.396,155234.988,192679.285,175474.386,7789.588,178525.102,0,0,7789.588,0.0
6,0,201849.024,11,2,1,0,0.258819,-0.965926,0.0,1.0,186314.69,197749.67,159527.608,192862.13,175659.384,7671.035,194177.989,0,0,7671.035,0.0
7,0,211655.664,12,2,1,0,0.0,-1.0,0.0,1.0,201849.024,207674.968,163184.988,193032.937,175911.298,6890.472,204765.192,0,0,6851.78,38.692
8,0,210733.448,13,2,1,0,-0.258819,-0.965926,0.0,1.0,211655.664,206453.496,164383.994,193198.799,176199.814,5947.162,204786.286,0,0,5464.831,482.331
9,0,205284.804,14,2,1,0,-0.5,-0.866025,0.0,1.0,210733.448,201600.07,165382.972,193377.131,176475.703,5580.462,199704.342,0,0,4632.919,947.543
10,0,200106.814,15,2,1,0,-0.707107,-0.707107,0.0,1.0,205284.804,196939.294,165491.858,193530.661,176713.214,5030.768,195076.046,0,0,3944.684,1086.084
11,0,196061.708,16,2,1,0,-0.866025,-0.5,0.0,1.0,200106.814,194680.652,164801.554,193662.641,176919.255,4247.957,191813.751,0,0,3130.723,1117.234
12,0,193357.624,17,2,1,0,-0.965926,-0.258819,0.0,1.0,196061.708,193186.674,163461.046,193720.185,177105.328,3725.206,189632.418,0,1,2668.159,1057.047
13,0,192352.104,18,2,1,0,-1.0,-0.0,0.0,1.0,193357.624,192402.344,161136.226,193727.308,177283.284,3418.083,188934.021,0,1,2435.514,982.569
14,0,190629.162,19,2,1,0,-0.965926,0.258819,0.0,1.0,192352.104,192010.768,159573.068,193725.215,177469.092,3385.62,187243.542,0,1,2352.406,1033.214
15,0,191530.478,20,2,1,0,-0.866025,0.5,0.0,1.0,190629.162,192328.93,160418.688,193667.648,177653.95,3006.791,188523.687,0,1,2252.148,754.643
16,0,198200.896,21,2,1,0,-0.707107,0.707107,0.0,1.0,191530.478,197382.444,166255.022,193634.379,177839.139,2585.167,195615.729,0,1,2398.874,186.293
17,0,210133.994,22,2,1,0,-0.5,0.866025,0.0,1.0,198200.896,207325.584,179737.146,193668.481,178029.293,2870.208,207263.786,0,0,2870.208,0.0
18,0,215816.644,23,2,1,0,-0.258819,0.965926,0.0,1.0,210133.994,210785.078,184525.09,193785.498,178210.227,3663.192,212153.452,0,0,3663.192,0.0
19,0,215097.6,0,3,1,0,0.0,1.0,0.0,1.0,215816.644,209041.94,184910.202,193995.147,178396.486,4871.494,210226.106,0,0,4871.494,0.0
20,0,212876.678,1,3,1,0,0.258819,0.965926,0.0,1.0,215097.6,205842.736,183545.732,194247.466,178576.173,5704.711,207171.967,0,0,5704.711,0.0
21,0,207261.28,2,3,1,0,0.5,0.866025,0.0,1.0,212876.678,199202.634,179730.218,194540.547,178750.762,6368.058,200893.222,0,0,6368.058,0.0
22,0,197678.524,3,3,1,0,0.707107,0.707107,0.0,1.0,207261.28,189832.002,173021.03,194876.324,178914.637,6668.488,191010.036,0,0,6668.488,0.0
23,0,189501.762,4,3,1,0,0.866025,0.5,0.0,1.0,197678.524,181062.526,166449.088,195203.262,179061.408,6827.973,182673.789,0,0,6827.973,0.0
24,0,183920.514,5,3,1,0,0.965926,0.258819,0.0,1.0,189501.762,175084.632,161916.394,195554.897,179198.627,6757.331,177163.183,0,0,6757.331,0.0
25,0,181313.694,6,3,1,0,1.0,0.0,0.0,1.0,183920.514,172347.028,159923.676,195923.059,179329.603,6662.801,174650.893,0,0,6662.801,0.0
26,0,180805.358,7,3,1,0,0.965926,-0.258819,0.0,1.0,181313.694,171373.388,159704.676,196296.67,179456.925,6498.129,174307.229,0,0,6498.129,0.0
27,0,182243.418,8,3,1,0,0.866025,-0.5,0.0,1.0,180805.358,171986.564,160984.588,196689.669,179582.524,6328.579,175914.839,0,0,6328.579,0.0
28,0,187442.804,9,3,1,0,0.707107,-0.707107,0.0,1.0,182243.418,176083.02,165902.244,197117.038,179709.065,6225.678,181217.126,0,0,6225.678,0.0
29,0,198202.99,10,3,1,0,0.5,-0.866025,0.0,1.0,187442.804,186314.69,176017.434,197590.362,179837.283,6163.75,192039.24,0,0,6163.75,0.0
30,0,215258.94,11,3,1,0,0.258819,-0.965926,0.0,1.0,198202.99,201849.024,190659.532,198085.708,179969.339,6315.856,208943.084,0,0,6315.856,0.0
31,0,224622.86,12,3,1,0,0.0,-1.0,0.0,1.0,215258.94,211655.664,200736.284,198644.454,180115.764,6519.829,218103.031,1,0,6475.089,44.74
32,0,221774.338,13,3,1,0,-0.258819,-0.965926,0.0,1.0,224622.86,210733.448,200192.144,199184.754,180257.946,7071.158,214703.18,0,0,6507.171,563.987
33,0,214053.256,14,3,1,0,-0.5,-0.866025,0.0,1.0,221774.338,205284.804,195313.802,199644.791,180386.412,7458.181,206595.075,0,0,6320.096,1138.085
34,0,206969.288,15,3,1,0,-0.707107,-0.707107,0.0,1.0,214053.256,200106.814,190376.672,200010.143,180497.956,7740.807,199228.481,0,0,6447.522,1293.285
35,0,200563.17,16,3,1,0,-0.866025,-0.5,0.0,1.0,206969.288,196061.708,185933.114,200296.08,180596.722,8008.638,192554.532,0,0,6722.047,1286.591
36,0,195705.896,17,3,1,0,-0.965926,-0.258819,0.0,1.0,200563.17,193357.624,182624.994,200483.641,180683.806,8081.076,187624.82,0,1,6834.496,1246.58
37,0,192716.894,18,3,1,0,-1.0,-0.0,0.0,1.0,195705.896,192352.104,180706.334,200581.485,180761.668,8237.845,184479.049,0,1,7023.495,1214.35
38,0,190635.712,19,3,1,0,-0.965926,0.258819,0.0,1.0,192716.894,190629.162,179401.022,200596.685,180833.159,8297.338,182338.374,0,1,7225.074,1072.264
39,0,191641.418,20,3,1,0,-0.866025,0.5,0.0,1.0,190635.712,191530.478,179092.008,200596.958,180900.033,7867.59,183773.828,0,1,7274.768,592.822
40,0,197142.554,21,3,1,0,-0.707107,0.707107,0.0,1.0,191641.418,198200.896,183534.268,200601.58,180974.731,7645.49,189497.064,0,1,7505.191,140.299
41,0,207531.234,22,3,1,0,-0.5,0.866025,0.0,1.0,197142.554,210133.994,193591.792,200557.483,181055.733,7823.102,199708.132,0,0,7823.102,0.0
42,0,210787.818,23,3,1,0,-0.258819,0.965926,0.0,1.0,207531.234,215816.644,194446.502,200449.034,181138.706,7993.684,202794.134,0,0,7993.684,0.0
43,0,208951.306,0,4,1,0,0.0,1.0,0.0,1.0,210787.818,215097.6,191216.304,200239.5,181235.976,8165.652,200785.654,0,0,8165.652,0.0
44,0,205229.778,1,4,1,0,0.258819,0.965926,0.0,1.0,208951.306,212876.678,186741.918,199983.404,181341.541,8131.662,197098.116,0,0,8131.662,0.0
45,0,198033.1,2,4,1,0,0.5,0.866025,0.0,1.0,205229.778,207261.28,179606.706,199664.784,181451.588,8099.613,189933.487,0,0,8099.613,0.0
46,0,187389.344,3,4,1,0,0.707107,0.707107,0.0,1.0,198033.1,197678.524,169662.826,199280.276,181561.269,8141.535,179247.809,0,0,8141.535,0.0
47,0,177491.548,4,4,1,0,0.866025,0.5,0.0,1.0,187389.344,189501.762,159789.816,198851.56,181666.784,7955.022,169536.526,0,0,7955.022,0.0
48,0,170424.192,5,4,1,0,0.965926,0.258819,0.0,1.0,177491.548,183920.514,152251.57,198351.135,181772.151,7555.971,162868.221,0,0,7555.971,0.0
49,0,166000.908,6,4,1,0,1.0,0.0,0.0,1.0,170424.192,181313.694,148018.772,197788.788,181880.322,6700.073,159300.835,0,0,6700.073,0.0
50,0,163543.39,7,4,1,0,0.965926,-0.258819,0.0,1.0,166000.908,180805.358,145604.812,197150.755,181987.358,5544.909,157998.481,0,0,5544.909,0.0
51,0,162786.804,8,4,1,0,0.866025,-0.5,0.0,1.0,163543.39,182243.418,145358.396,196431.506,182094.136,4725.425,158061.379,0,0,4725.425,0.0
52,0,165603.806,9,4,1,0,0.707107,-0.707107,0.0,1.0,162786.804,187442.804,148036.02,195620.814,182197.876,4547.976,161055.83,0,0,4547.976,0.0
53,0,174163.23,10,4,1,0,0.5,-0.866025,0.0,1.0,165603.806,198202.99,155596.736,194710.856,182302.446,4410.427,169752.803,0,0,4410.427,0.0
54,0,188431.036,11,4,1,0,0.258819,-0.965926,0.0,1.0,174163.23,215258.94,168397.85,193709.199,182412.961,4104.119,184326.917,0,0,4104.119,0.0
