time_idx,group_id,electricity_demand,hour,day_of_week,solar_generation,wind_generation,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
0,single,175084.63199999998,5.0,2.0,-3.141,6540.513,181062.526,169406.718,158364.942,191599.03191666666,14506.095435720974,174896.20854761903,16635.350960228454
1,single,172347.028,6.0,2.0,-3.061,6982.572,175084.63199999998,166827.548,155147.428,191835.6116666667,14170.85164869241,174995.73051190475,16585.798938859134
2,single,171373.388,7.0,2.0,-3.181,7225.674,172347.028,166193.716,152404.272,192065.59,13786.937930516538,175098.10908333331,16515.483020059135
3,single,171986.564,8.0,2.0,-3.221,7473.561,171373.388,167039.07,151348.068,192281.40966666664,13399.428292071634,175211.02048809524,16423.99267930512
4,single,176083.02,9.0,2.0,-3.24,7737.883,171986.564,171481.508,152476.082,192487.55525,13027.08341261169,175333.86867857142,16321.29861016348
5,single,186314.69,10.0,2.0,-3.422,7789.588,176083.02,181926.396,155234.988,192679.2849166667,12735.068427868973,175474.3861666667,16224.662471789707
6,single,201849.024,11.0,2.0,-3.147,7671.035,186314.69,197749.67,159527.608,192862.1305,12604.80641429126,175659.38439285714,16169.601578072927
7,single,211655.664,12.0,2.0,38.692,6851.78,201849.024,207674.968,163184.988,193032.9369166667,12701.321987869456,175911.29758333333,16246.262808870633
8,single,210733.448,13.0,2.0,482.331,5464.831,211655.664,206453.496,164383.994,193198.79925,12924.864792426259,176199.81351190477,16448.044209743974
9,single,205284.804,14.0,2.0,947.543,4632.919,210733.448,201600.07,165382.972,193377.13058333332,13143.377666374921,176475.7031190476,16636.307496361725
10,single,200106.814,15.0,2.0,1086.084,3944.684,205284.804,196939.294,165491.858,193530.6611666667,13264.57015683627,176713.21402380953,16761.35452446357
11,single,196061.708,16.0,2.0,1117.234,3130.723,200106.814,194680.652,164801.554,193662.64116666664,13315.619876923887,176919.25542857143,16835.1804964807
12,single,193357.624,17.0,2.0,1057.047,2668.159,196061.708,193186.674,163461.046,193720.18516666666,13323.192521807445,177105.32777380952,16873.15652288899
13,single,192352.104,18.0,2.0,982.569,2435.514,193357.624,192402.344,161136.226,193727.30808333334,13322.940586682686,177283.2835952381,16886.042864011146
14,single,190629.162,19.0,2.0,1033.214,2352.406,192352.104,192010.768,159573.068,193725.21475,13323.16176476791,177469.09239285713,16879.045184123188
15,single,191530.478,20.0,2.0,754.643,2252.148,190629.162,192328.93,160418.688,193667.64783333332,13333.872177423085,177653.9500952381,16851.915891991215
16,single,198200.896,21.0,2.0,186.293,2398.874,191530.478,197382.444,166255.022,193634.379,13338.352926970038,177839.13932142858,16832.315434210515
17,single,210133.994,22.0,2.0,-1.096,2870.208,198200.896,207325.584,179737.146,193668.48116666664,13349.393941270022,178029.2933333333,16881.04160826133
18,single,215816.644,23.0,2.0,-1.84,3663.192,210133.994,210785.078,184525.09,193785.49824999998,13485.923983594097,178210.22695238097,17061.391916191013
19,single,215097.6,0.0,3.0,-1.99,4871.494,215816.644,209041.94,184910.202,193995.14683333333,13797.202239390372,178396.48620238094,17299.882226616846
20,single,212876.678,1.0,3.0,-1.894,5704.711,215097.6,205842.736,183545.732,194247.46600000001,14135.560688596355,178576.1730952381,17523.27254333871
21,single,207261.28,2.0,3.0,-1.762,6368.058,212876.678,199202.634,179730.218,194540.54691666667,14455.718722092213,178750.7620595238,17718.114774891044
22,single,197678.524,3.0,3.0,-1.884,6668.488,207261.28,189832.002,173021.03,194876.32383333333,14660.855265490407,178914.6374285714,17854.0245824039
23,single,189501.762,4.0,3.0,-1.729,6827.973,197678.524,181062.526,166449.088,195203.26225000003,14630.934154248442,179061.40822619048,17906.557891724795
24,single,183920.514,5.0,3.0,-1.822,6757.331,189501.762,175084.63199999998,161916.394,195554.89708333334,14375.48719970047,179198.62652380954,17897.655034941483
25,single,181313.694,6.0,3.0,-1.993,6662.801,183920.514,172347.028,159923.676,195923.0588333333,13934.83377637432,179329.60342857143,17850.87762464727
26,single,180805.358,7.0,3.0,-1.8,6498.129,181313.694,171373.388,159704.676,196296.66991666667,13384.586998566028,179456.92496428572,17787.806683719882
27,single,182243.418,8.0,3.0,-1.99,6328.579,180805.358,171986.564,160984.588,196689.6686666667,12744.118678982835,179582.52426190473,17721.874879992167
28,single,187442.804,9.0,3.0,-1.875,6225.678,182243.418,176083.02,165902.244,197117.03758333332,12031.7627071765,179709.06491666666,17664.08732696167
29,single,198202.99,10.0,3.0,-1.951,6163.75,187442.804,186314.69,176017.434,197590.36191666665,11373.768936540628,179837.28253571427,17641.431463205678
30,single,215258.94,11.0,3.0,-1.926,6315.856,198202.99,201849.024,190659.532,198085.70775000003,11117.330716591428,179969.33941666665,17695.61933549639
31,single,224622.86,12.0,3.0,44.74,6475.089,215258.94,211655.664,200736.284,198644.45424999998,11639.42062115558,180115.76446428575,17885.365059783708
32,single,221774.338,13.0,3.0,563.987,6507.171,224622.86,210733.448,200192.144,199184.75408333333,12536.087728647066,180257.94646428572,18143.356086015865
33,single,214053.256,14.0,3.0,1138.085,6320.096,221774.338,205284.804,195313.802,199644.79116666666,13165.118848754288,180386.4119047619,18360.45522268714
34,single,206969.288,15.0,3.0,1293.285,6447.522,214053.256,200106.814,190376.672,200010.1433333333,13447.092283235697,180497.95627380954,18508.0163737316
35,single,200563.17,16.0,3.0,1286.591,6722.047,206969.288,196061.708,185933.114,200296.07975000003,13521.989833226862,180596.7218452381,18605.066193188944
36,single,195705.896,17.0,3.0,1246.58,6834.496,200563.17,193357.624,182624.994,200483.64066666667,13491.887970011545,180683.80551190473,18664.338123396803
37,single,192716.894,18.0,3.0,1214.35,7023.495,195705.896,192352.104,180706.334,200581.48533333334,13446.400694364014,180761.66802380953,18699.73612715412
38,single,190635.712,19.0,3.0,1072.264,7225.074,192716.894,190629.162,179401.022,200596.68491666668,13436.896708597567,180833.15945238096,18722.46843032632
39,single,191641.418,20.0,3.0,592.822,7274.768,190635.712,191530.478,179092.008,200596.95783333332,13436.685521019215,180900.03260714287,18737.38063935262
40,single,197142.554,21.0,3.0,140.299,7505.191,191641.418,198200.896,183534.268,200601.58033333335,13433.449544854815,180974.73147619047,18755.13603570128
41,single,207531.234,22.0,3.0,-2.5,7823.102,197142.554,210133.994,193591.792,200557.48275,13443.406240668002,181055.73317857145,18795.599448740504
42,single,210787.818,23.0,3.0,-2.988,7993.684,207531.234,215816.644,194446.502,200449.0344166667,13373.107854585984,181138.70604761905,18881.84092154283
43,single,208951.306,0.0,4.0,-3.063,8165.652,210787.818,215097.6,191216.304,200239.5,13159.545426987457,181235.97578571428,18992.572919774702
44,single,205229.778,1.0,4.0,-3.125,8131.662,208951.306,212876.678,186741.918,199983.40441666663,12915.363304924096,181341.54127380953,19097.376898340463
45,single,198033.1,2.0,4.0,-2.951,8099.613,205229.778,207261.28,179606.706,199664.78358333334,12675.555873736448,181451.58805952384,19181.763199986224
46,single,187389.344,3.0,4.0,-3.101,8141.535,198033.1,197678.524,169662.826,199280.27608333333,12574.665374362288,181561.26897619048,19223.785870651704
47,single,177491.548,4.0,4.0,-2.873,7955.022,187389.344,189501.762,159789.816,198851.56024999998,12804.938475093253,181666.7839642857,19206.72780305398
48,single,170424.19199999998,5.0,4.0,-3.121,7555.971,177491.548,183920.514,152251.57,198351.13466666665,13406.762590652552,181772.15141666666,19134.412254146864
49,single,166000.908,6.0,4.0,-3.134,6700.073,170424.19199999998,181313.694,148018.772,197788.78791666668,14292.185784998772,181880.32178571427,19017.537291303324
50,single,163543.39,7.0,4.0,-2.993,5544.909,166000.908,180805.358,145604.812,197150.75516666667,15361.44488345228,181987.3583095238,18875.88987401784
51,single,162786.804,8.0,4.0,-3.197,4725.425,163543.39,182243.418,145358.396,196431.50650000002,16520.434095663135,182094.1355595238,18718.93344154003
52,single,165603.806,9.0,4.0,-3.251,4547.976,162786.804,187442.804,148036.02000000002,195620.81425000002,17683.399126273474,182197.87608333334,18561.758836320514
53,single,174163.22999999998,10.0,4.0,-3.177,4410.427,165603.806,198202.99,155596.736,194710.856,18657.58764334428,182302.44623809526,18417.072348252983
54,single,188431.036,11.0,4.0,-3.144,4104.119,174163.22999999998,215258.94,168397.85,193709.19933333332,19101.96736041415,182412.96108333333,18311.262282715616
55,single,197501.786,12.0,4.0,19.81,3511.262,188431.036,224622.86,177478.63,192591.37,18563.448516783483,182532.20623809524,18284.65760662611
56,single,196529.374,13.0,4.0,253.301,3132.875,197501.786,221774.338,180287.808,191461.32525,17312.078072832024,182651.3916904762,18316.750089215027
57,single,193457.634,14.0,4.0,566.92,2901.388,196529.374,214053.256,181034.816,190409.45175,16115.79963765882,182748.06767857145,18347.03690371308
58,single,190855.674,15.0,4.0,751.191,2814.039,193457.634,206969.288,181590.434,189551.30083333337,15331.304628148546,182822.01302380953,18365.115886618383
59,single,186722.282,16.0,4.0,848.037,2650.36,190855.674,200563.17,181141.996,188879.90024999998,14881.592305239838,182877.16326190476,18375.304202447765
60,single,183222.41,17.0,4.0,844.521,2444.202,186722.282,195705.896,180328.102,188303.1965833333,14675.912819558587,182910.37925,18377.19234302547
61,single,180305.486,18.0,4.0,736.865,2486.016,183222.41,192716.894,179723.948,187783.05133333334,14623.264372244914,182927.60727380952,18376.11367419566
62,single,178131.122,19.0,4.0,635.179,2492.849,180305.486,190635.712,178473.278,187265.90933333334,14660.609039208432,182931.0688095238,18375.561346804578
63,single,177012.632,20.0,4.0,406.168,2731.417,178131.122,191641.418,177803.866,186744.88475,14757.522902530538,182929.03216666667,18376.07733562982
64,single,179882.59,21.0,4.0,91.172,3200.337,177012.632,197142.554,180803.1,186135.35199999998,14848.31577711936,182924.3224404762,18377.500104165014
65,single,186436.144,22.0,4.0,-2.761,3722.086,179882.59,207531.234,186792.35,185416.18683333334,14709.347581762431,182918.8432142857,18378.273538874448
66,single,185972.454,23.0,4.0,-3.106,4016.46,186436.144,210787.818,185481.954,184537.22475000002,13940.582081367214,182916.7229404762,18377.844524751643
